 CONJUNTO, EVALUADOR, BUSQUEDA, CLASIFICADOR, ATTR, %ICC, NTI, ICC, ICI, ROC, F-STAT, PROM, MIN,  MAX, SD, MAX-MIN, FEAT1, FEAT2, FEAT3, FEAT4, FEAT5, FEAT6, FEAT7, FEAT8, FEAT9, FEAT10
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','HjorthComp','KendaAutoct1','KendaCAutot1','PartialAutt1','PearsAutoct1','PearsCAutot1','HjorthMobi'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitCCm1h1','HjorthComp','AR_____FitNRMSEm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi','PartialAutt1','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','HjorthMobi',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,4,81.0811,37,30,7,0.75294,0.80037,81.0811,81.0811,81.0811,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,3,81.0811,37,30,7,0.73235,0.80037,81.0811,81.0811,81.0811,0,0,'AR_____FitCCm1h1','AR_____FitNRMSEm1h1','HjorthComp',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,2,81.0811,37,30,7,0.73235,0.80037,81.0811,81.0811,81.0811,0,0,'HjorthComp','AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' '
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,BayesNet,1,81.0811,37,30,7,0.73235,0.80037,81.0811,81.0811,81.0811,0,0,'AR_____FitNRMSEm1h1',' ',' ',' ',' ',' ',' ',' ',' ',' '


Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','AR_____FitNRMSEm1h1','HjorthComp','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','PearsCAutot1','PartialAutt1','HjorthMobi','PearsAutoct1'
Conjunto Alzheimer Local SS-WOJ,ChiSquaredAttributeEval,Ranker,NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,'AR_____FitNMSEm1h1','HjorthComp','AR_____FitNRMSEm1h1','AR_____FitCCm1h1','KendaAutoct1','KendaCAutot1','HjorthMobi','PearsCAutot1','PartialAutt1','PearsAutoct1'
