@relation MORPHO_Dataset-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Bif_ampl_local Mean' numeric
@attribute 'Bif_ampl_local SD' numeric
@attribute 'Bif_ampl_remote Mean' numeric
@attribute 'Bif_ampl_remote SD' numeric
@attribute 'Bif_tilt_local Mean' numeric
@attribute 'Bif_tilt_local SD' numeric
@attribute 'Bif_tilt_remote Mean' numeric
@attribute 'Bif_tilt_remote SD' numeric
@attribute 'Bif_torque_local Mean' numeric
@attribute 'Bif_torque_local SD' numeric
@attribute 'Bif_torque_remote Mean' numeric
@attribute 'Bif_torque_remote SD' numeric
@attribute 'Branch_Order Mean' numeric
@attribute 'Branch_Order Max' numeric
@attribute 'Branch_Order SD' numeric
@attribute 'Branch_pathlength Mean' numeric
@attribute 'Branch_pathlength Max' numeric
@attribute 'Branch_pathlength SD' numeric
@attribute 'Contraction Mean' numeric
@attribute 'Contraction SD' numeric
@attribute 'Daughter_Ratio Mean' numeric
@attribute 'Daughter_Ratio SD' numeric
@attribute 'Depth Mean' numeric
@attribute 'Diam_threshold Mean' numeric
@attribute 'Diam_threshold SD' numeric
@attribute 'Diameter Mean' numeric
@attribute 'Diameter SD' numeric
@attribute 'Diameter_pow Mean' numeric
@attribute 'Diameter_pow SD' numeric
@attribute 'EucDistance Mean' numeric
@attribute 'EucDistance Max' numeric
@attribute 'EucDistance SD' numeric
@attribute 'Fractal_Dim Mean' numeric
@attribute 'Fractal_Dim SD' numeric
@attribute 'Fragmentation Mean' numeric
@attribute 'Fragmentation SD' numeric
@attribute 'Height Mean' numeric
@attribute 'Helix Mean' numeric
@attribute 'Helix SD' numeric
@attribute 'HillmanThreshold Mean' numeric
@attribute 'HillmanThreshold SD' numeric
@attribute 'Last_parent_diam Mean' numeric
@attribute 'Last_parent_diam SD' numeric
@attribute 'Length Total' numeric
@attribute 'N_bifs Total' numeric
@attribute 'N_branch Total' numeric
@attribute 'N_stems Total' numeric
@attribute 'N_tips Total' numeric
@attribute 'Parent_Daughter_Ratio Mean' numeric
@attribute 'Parent_Daughter_Ratio SD' numeric
@attribute 'Partition_asymmetry Mean' numeric
@attribute 'Partition_asymmetry SD' numeric
@attribute 'PathDistance Mean' numeric
@attribute 'PathDistance Max' numeric
@attribute 'PathDistance SD' numeric
@attribute 'Pk Mean' numeric
@attribute 'Pk SD' numeric
@attribute 'Pk_2 Mean' numeric
@attribute 'Pk_2 SD' numeric
@attribute 'Pk_classic Mean' numeric
@attribute 'Pk_classic SD' numeric
@attribute 'Rall_Power Mean' numeric
@attribute 'Rall_Power SD' numeric
@attribute 'SectionArea Mean' numeric
@attribute 'SectionArea SD' numeric
@attribute 'Soma_Surface Total' numeric
@attribute 'Surface Total' numeric
@attribute 'Surface Mean' numeric
@attribute 'Surface SD' numeric
@attribute 'Taper_1 Mean' numeric
@attribute 'Taper_1 SD' numeric
@attribute 'Taper_2 Mean' numeric
@attribute 'Taper_2 SD' numeric
@attribute 'Terminal_degree Mean' numeric
@attribute 'Terminal_degree Max' numeric
@attribute 'Terminal_degree SD' numeric
@attribute 'TerminalSegment Total' numeric
@attribute 'Volume Total' numeric
@attribute 'Volume Mean' numeric
@attribute 'Volume SD' numeric
@attribute 'Width Mean' numeric
@attribute Clase {Old,Young}

@data
33.8008,21.7255,50.9951,22.6343,146.28,21.6105,135.358,17.7178,88.0981,40.674,90.3165,46.2939,3.53532,8,1.69365,50.3908,175.6,45.7717,0.935568,0.043266,1.38591,0.56739,92.74,1.08383,2.66638,0.543657,0.752777,0.542866,2.95552,87.5518,224.63,40.9261,1.01983,0.014009,12.74,12.0557,320.6,0.002729,0.052098,1.43013,2.98369,0.542763,0.089961,4989.2,46,99,0,54,0.76274,0.285163,0.403977,0.420635,103.934,253.925,46.4176,1.37482,0.801006,1.43363,0.616925,1.51489,0.47674,2.09975,0.779198,0.602097,7.51366,834.223,8957.58,7.03659,15.8735,0.051884,0.144571,0.667686,0.414446,1.51256,54,2.15286,1080,4740.25,3.72369,59.961,245.1,Old
38.252,23.3725,45.9115,17.1157,142.081,21.8396,142.055,13.4074,93.6036,45.9228,94.3302,41.8326,3.55082,8,1.94374,43.5423,179.18,38.6297,0.933521,0.044506,1.30083,0.525284,75.55,1.0265,2.45127,0.538689,0.735462,0.535583,2.77454,89.135,228.265,48.46,1.01811,0.01465,10.7634,9.46708,308.15,-0.004144,0.052647,1.22138,2.60422,0.52886,0.069849,4144.41,43,92,0,50,0.757235,0.257084,0.354564,0.423153,103.743,258.283,56.5042,1.25511,0.494723,1.38872,0.417225,1.49429,0.354315,2.33525,0.703349,0.583637,6.7185,670.872,7258.8,7.03372,13.8255,0.061205,0.152934,0.678989,0.386891,1.65053,51,2.37792,822,3472.12,3.36446,47.9736,274.41,Old
39.1311,27.5127,55.7284,20.7547,136.563,22.9808,134.78,18.1915,92.2967,45.5328,91.4054,46.8437,3.67591,10,1.76888,61.0027,205.35,58.6904,0.922625,0.057708,1.26174,0.293657,103.29,1.0528,2.66204,0.50567,0.706906,0.479849,2.83744,98.9834,238.623,47.4424,1.02148,0.016027,13.6602,13.3241,387.07,0.000941,0.05761,1.2313,2.84094,0.509868,0.080708,6222.84,48,102,0,55,0.79984,0.243317,0.443479,0.432819,119.327,280.73,55.1809,1.3997,0.501791,1.4897,0.423833,1.57967,0.34894,2.29306,0.585264,0.516991,7.242,844.836,10131.8,7.20609,14.9378,0.050467,0.167789,0.659295,0.396377,1.46766,55,2.11074,1218,4746.41,3.37583,58.2853,320.56,Old
42.2704,26.0381,56.0252,21.5193,135.842,25.1136,132.408,18.9962,90.4485,42.6173,93.5817,48.855,3.52275,8,1.74642,52.2583,147.52,44.8297,0.939709,0.045621,1.18262,0.230251,72.28,1.1538,2.7096,0.516099,0.753229,0.512178,2.91731,92.6505,267.566,51.0497,1.02005,0.013038,12.1154,10.6382,276.19,-0.001191,0.045464,1.51662,3.01969,0.510417,0.06627,4024.28,34,75,0,42,0.834743,0.26001,0.355291,0.404305,109.309,293.143,57.2134,1.56599,0.761169,1.63263,0.53605,1.6925,0.416548,2.51038,0.638588,0.572436,7.09301,679.425,6727.45,7.12654,14.1527,0.051506,0.18069,0.624187,0.43409,1.55556,42,2.19491,793,3279.61,3.47416,51.0769,344.08,Old
66.7156,22.0112,53.0094,18.7629,114.874,20.6454,134.227,16.6241,86.1948,45.9748,95.7632,47.729,3.64881,10,2.43956,58.9253,177.6,51.0161,0.92592,0.044154,1.41809,0.483505,76.18,1.30191,3.25606,0.554561,0.856527,0.586517,3.55837,92.6947,276.329,50.4032,1.02161,0.015398,14.4177,12.0584,303.03,0.001886,0.051709,1.71557,3.66029,0.472149,0.044518,4596.6,34,76,0,43,0.862249,0.327562,0.447319,0.419947,108.587,321.835,57.4468,1.99831,1.3185,1.85524,0.766055,1.83851,0.580079,1.97583,0.711601,0.71314,9.44162,994.302,8241.79,7.24235,18.953,0.056948,0.174021,0.671789,0.405839,1.55926,43,2.30274,967,5566.41,4.8914,82.4526,366.97,Old
65.1568,20.0368,53.7702,19.5676,124.882,16.1437,138.246,14.9338,103.191,39.1278,108.866,40.2125,4.20079,11,2.59302,54.3662,172.19,47.8687,0.907748,0.054485,1.45588,0.796653,162.43,1.22503,3.37139,0.562999,0.831214,0.5795,3.7064,104.823,275.611,50.3425,1.02911,0.021214,16.6636,15.8986,325.01,-0.00119,0.05862,1.57813,3.82293,0.49173,0.06501,5763.38,49,106,0,58,0.864704,0.325521,0.336364,0.417164,124.828,308.893,57.1684,2.01047,1.1185,1.85334,0.585786,1.84517,0.467692,2.46562,0.764218,0.695916,10.6888,1411,11289,6.33501,22.2661,0.065249,0.193365,0.695053,0.398641,1.60011,58,2.36843,1434,9257.25,5.19487,111.416,366.39,Old
65.8507,19.2034,59.8813,16.8072,116.919,19.4323,130.578,16.2182,73.0943,42.6297,84.4836,43.1132,3.51501,9,2.67453,48.0837,166.97,40.5578,0.923415,0.054128,1.49658,0.747591,82.09,1.29001,3.23294,0.605143,0.947575,0.685431,3.90509,81.9036,195.409,40.2402,1.02112,0.020041,12.5412,10.2493,264.54,0.000239,0.054821,1.50097,3.46315,0.478124,0.16294,4039.46,38,84,0,47,0.853951,0.36638,0.387949,0.439516,96.5014,235.892,48.2947,2.14725,2.15587,1.92207,0.980659,1.87872,0.667485,1.661,0.362562,0.878482,10.5421,1067.61,8002.47,7.51406,21.2109,0.081521,0.201092,0.702109,0.409215,1.69137,47,2.47699,847,6269.63,5.88697,94.8926,318,Old
61.9905,23.5314,59.2747,15.0626,117.136,23.5963,131.212,15.1424,95.8006,39.0899,98.452,40.9557,3.44576,10,2.15671,54.5355,181.94,46.2629,0.9031,0.071527,1.61591,0.793567,87.18,1.51278,4.14546,0.602618,1.08631,0.726372,4.97774,100.065,287.643,54.2824,1.03029,0.023648,14.4342,12.7362,275.53,0.002869,0.060368,1.56978,4.13191,0.530416,0.117408,4090.55,35,75,0,41,0.811913,0.337407,0.396769,0.438523,118.308,323.877,61.0786,1.72373,1.2649,1.66601,0.747254,1.68086,0.569752,1.71917,0.521022,1.04608,14.6733,1516.84,8517.54,7.77147,29.4247,0.07061,0.214793,0.68417,0.399407,1.66089,41,2.26601,864,9687.02,8.83852,158.263,399.66,Old
66.499,22.3647,57.1549,24.9134,117.391,22.3316,130.656,22.9872,74.5533,39.28,76.5816,43.9684,3.47903,9,2.34232,62.4897,200.08,57.0614,0.913206,0.063231,1.4707,0.623981,95.39,1.38688,3.88766,0.571603,0.962068,0.633513,4.44412,103.017,269.49,57.2847,1.02292,0.016849,16.6067,15.4283,394.6,0.000891,0.055362,1.67262,4.12821,0.524101,0.140452,5499.55,40,88,0,49,0.773311,0.309096,0.321566,0.412014,125.994,380.732,71.4679,1.41075,0.596682,1.53235,0.450186,1.59889,0.388087,2.5825,1.00488,0.847224,13.2101,1586.03,10878.5,7.3653,26.6908,0.088729,0.211348,0.727503,0.362582,1.42355,49,1.66227,1221,10627.1,7.19508,145.903,385.65,Old
66.5489,25.1813,52.765,21.4522,121.422,20.2104,130.991,16.4265,86.7936,33.6259,87.6824,46.4301,3.28902,7,1.63718,51.4948,170.12,42.5454,0.9093,0.081338,1.45448,0.675698,69.13,1.36019,3.16691,0.572829,0.827667,0.603571,3.23201,85.8376,219.902,44.0504,1.02656,0.017757,15.2647,13.264,196.69,0.002839,0.057246,1.57592,3.36525,0.450834,0.023502,3450.49,31,67,0,37,0.914332,0.344322,0.410981,0.423078,105.114,264.039,50.8603,2.62322,2.73838,2.07663,0.903678,1.99857,0.638766,4.495,0,0.696489,8.14774,818.416,6602.64,6.36705,16.7102,0.054489,0.157952,0.67858,0.410153,1.50193,37,1.80342,862,4333.14,4.17853,64.6073,317.44,Old
