@relation TableofMeasures(SS-WOJ)-weka.filters.unsupervised.attribute.Remove-R1

@attribute PearsAutoct1 numeric
@attribute PearsAutoct2 numeric
@attribute PearsAutoct3 numeric
@attribute PearsAutoct4 numeric
@attribute PearsAutoct5 numeric
@attribute PearsAutoct6 numeric
@attribute PearsAutoct7 numeric
@attribute PearsAutoct8 numeric
@attribute PearsAutoct9 numeric
@attribute PearsAutoct10 numeric
@attribute PearsCAutot1 numeric
@attribute PearsCAutot2 numeric
@attribute PearsCAutot3 numeric
@attribute PearsCAutot4 numeric
@attribute PearsCAutot5 numeric
@attribute PearsCAutot6 numeric
@attribute PearsCAutot7 numeric
@attribute PearsCAutot8 numeric
@attribute PearsCAutot9 numeric
@attribute PearsCAutot10 numeric
@attribute KendaAutoct1 numeric
@attribute KendaAutoct2 numeric
@attribute KendaAutoct3 numeric
@attribute KendaAutoct4 numeric
@attribute KendaAutoct5 numeric
@attribute KendaAutoct6 numeric
@attribute KendaAutoct7 numeric
@attribute KendaAutoct8 numeric
@attribute KendaAutoct9 numeric
@attribute KendaAutoct10 numeric
@attribute KendaCAutot1 numeric
@attribute KendaCAutot2 numeric
@attribute KendaCAutot3 numeric
@attribute KendaCAutot4 numeric
@attribute KendaCAutot5 numeric
@attribute KendaCAutot6 numeric
@attribute KendaCAutot7 numeric
@attribute KendaCAutot8 numeric
@attribute KendaCAutot9 numeric
@attribute KendaCAutot10 numeric
@attribute SpearAutoct1 numeric
@attribute SpearAutoct2 numeric
@attribute SpearAutoct3 numeric
@attribute SpearAutoct4 numeric
@attribute SpearAutoct5 numeric
@attribute SpearAutoct6 numeric
@attribute SpearAutoct7 numeric
@attribute SpearAutoct8 numeric
@attribute SpearAutoct9 numeric
@attribute SpearAutoct10 numeric
@attribute SpearCAutot1 numeric
@attribute SpearCAutot2 numeric
@attribute SpearCAutot3 numeric
@attribute SpearCAutot4 numeric
@attribute SpearCAutot5 numeric
@attribute SpearCAutot6 numeric
@attribute SpearCAutot7 numeric
@attribute SpearCAutot8 numeric
@attribute SpearCAutot9 numeric
@attribute SpearCAutot10 numeric
@attribute PartialAutt1 numeric
@attribute PartialAutt2 numeric
@attribute PartialAutt3 numeric
@attribute PartialAutt4 numeric
@attribute PartialAutt5 numeric
@attribute PartialAutt6 numeric
@attribute PartialAutt7 numeric
@attribute PartialAutt8 numeric
@attribute PartialAutt9 numeric
@attribute PartialAutt10 numeric
@attribute MedianFreql5u480 numeric
@attribute AR_____FitNMSEm1h1 numeric
@attribute AR_____FitNRMSEm1h1 numeric
@attribute AR_____FitCCm1h1 numeric
@attribute AR_PredictNMSEf50m1h1 numeric
@attribute AR_PredictNRMSEf50m1h1 numeric
@attribute AR_PredictCCf50m1h1 numeric
@attribute Bicorrelatt1 numeric
@attribute Bicorrelatt2 numeric
@attribute Bicorrelatt3 numeric
@attribute Bicorrelatt4 numeric
@attribute Bicorrelatt5 numeric
@attribute Bicorrelatt6 numeric
@attribute Bicorrelatt7 numeric
@attribute Bicorrelatt8 numeric
@attribute Bicorrelatt9 numeric
@attribute Bicorrelatt10 numeric
@attribute BicorrelaCt1 numeric
@attribute BicorrelaCt2 numeric
@attribute BicorrelaCt3 numeric
@attribute BicorrelaCt4 numeric
@attribute BicorrelaCt5 numeric
@attribute BicorrelaCt6 numeric
@attribute BicorrelaCt7 numeric
@attribute BicorrelaCt8 numeric
@attribute BicorrelaCt9 numeric
@attribute BicorrelaCt10 numeric
@attribute MutInfEqDib0t0 numeric
@attribute MutInfEqDib0t1 numeric
@attribute MutInfEqDib0t2 numeric
@attribute MutInfEqDib0t3 numeric
@attribute MutInfEqDib0t4 numeric
@attribute MutInfEqDib0t5 numeric
@attribute MutInfEqDib0t6 numeric
@attribute MutInfEqDib0t7 numeric
@attribute MutInfEqDib0t8 numeric
@attribute MutInfEqDib0t9 numeric
@attribute MutInfEqDib0t10 numeric
@attribute MutInCEqDib0t0 numeric
@attribute MutInCEqDib0t1 numeric
@attribute MutInCEqDib0t2 numeric
@attribute MutInCEqDib0t3 numeric
@attribute MutInCEqDib0t4 numeric
@attribute MutInCEqDib0t5 numeric
@attribute MutInCEqDib0t6 numeric
@attribute MutInCEqDib0t7 numeric
@attribute MutInCEqDib0t8 numeric
@attribute MutInCEqDib0t9 numeric
@attribute MutInCEqDib0t10 numeric
@attribute MutInfEqPrb0t0 numeric
@attribute MutInfEqPrb0t1 numeric
@attribute MutInfEqPrb0t2 numeric
@attribute MutInfEqPrb0t3 numeric
@attribute MutInfEqPrb0t4 numeric
@attribute MutInfEqPrb0t5 numeric
@attribute MutInfEqPrb0t6 numeric
@attribute MutInfEqPrb0t7 numeric
@attribute MutInfEqPrb0t8 numeric
@attribute MutInfEqPrb0t9 numeric
@attribute MutInfEqPrb0t10 numeric
@attribute MutInCEqPrb0t0 numeric
@attribute MutInCEqPrb0t1 numeric
@attribute MutInCEqPrb0t2 numeric
@attribute MutInCEqPrb0t3 numeric
@attribute MutInCEqPrb0t4 numeric
@attribute MutInCEqPrb0t5 numeric
@attribute MutInCEqPrb0t6 numeric
@attribute MutInCEqPrb0t7 numeric
@attribute MutInCEqPrb0t8 numeric
@attribute MutInCEqPrb0t9 numeric
@attribute MutInCEqPrb0t10 numeric
@attribute LocalMaximMEANa1w1 numeric
@attribute LocalMaximMEDIANa1w1 numeric
@attribute LocalMaximSDa1w1 numeric
@attribute LocalMaximIQRa1w1 numeric
@attribute LocalMinimMEANa1w1 numeric
@attribute LocalMinimMEDIANa1w1 numeric
@attribute LocalMinimSDa1w1 numeric
@attribute LocalMinimIQRa1w1 numeric
@attribute MinMaxTimeMEANa1w1 numeric
@attribute MinMaxTimeSDa1w1 numeric
@attribute MaxMaxTimeMEANa1w1 numeric
@attribute MaxMaxTimeSDa1w1 numeric
@attribute DiffMinMaxMEANa1w1 numeric
@attribute DiffMinMaxMEDIANa1w1 numeric
@attribute DiffMinMaxSDa1w1 numeric
@attribute DiffMinMaxIQRa1w1 numeric
@attribute CorrelaDimt1m1g0s4o100 numeric
@attribute AlgComEqDib0 numeric
@attribute AlgComEqPrb0 numeric
@attribute MeanTimSer numeric
@attribute MedianTimS numeric
@attribute VarianceTS numeric
@attribute StdDeviaTS numeric
@attribute IntQuarRangTS numeric
@attribute SkewnessTS numeric
@attribute KurtosisTS numeric
@attribute HjorthMobi numeric
@attribute HjorthComp {'0.00000000000000 + 0.345746887455228i',0.600894874,0.62210919,0.63094448,0.653157755,0.591177856,0.666179024,0.643606106,0.576869348,0.647551241,0.613726231,0.651036934,0.637447089,0.558454185,0.611276357,0.579854449,0.614966777,0.655341141,0.654394941,0.646352481,0.632267793,0.77915964,0.614000629,0.66360525,0.68355239,0.652062564,0.642390288,0.645988084,0.631140125,0.659556963,0.618591805,0.631245623,0.617412894,0.614888754,0.617973381,0.650048634,0.626933847}
@attribute HurstExpon numeric
@attribute DetFluctAna numeric
@attribute clase {Old,Young}

@data
-0.503578,0.011063,0.008733,0.01052,-0.020221,-0.01211,0.013366,0.001879,0.014206,-0.023987,0.503578,0.514641,0.523374,0.533895,0.554116,0.566226,0.579592,0.581471,0.595677,0.619664,-0.329097,0.005824,0.000752,0.012537,-0.013529,-0.010479,0.013578,-0.016682,0.016334,-0.008572,0.329097,0.334921,0.335673,0.34821,0.361739,0.372218,0.385796,0.402478,0.418812,0.427385,-0.470056,0.009825,0.001069,0.019532,-0.020108,-0.015456,0.021219,-0.023804,0.024272,-0.012856,0.470056,0.479881,0.48095,0.500482,0.52059,0.536046,0.557265,0.581069,0.605342,0.618198,-0.728139,-0.400902,-0.228773,-0.098494,-0.101587,-0.141141,-0.106636,-0.068895,0.00859,-0.035723,0.33134,0.644589,0.802863,0.60607,0.646035,0.803763,0.640938,0.120085,-0.007057,-0.00689,0.01238,0.002561,0.003361,0.00386,0.002336,-0.007346,0.021493,0.120085,0.127142,0.134032,0.146412,0.148974,0.152335,0.156195,0.158531,0.165877,0.18737,0.721734,0.065575,0.003183,0.00342,0.003187,0.003341,0.002501,0.003219,0.002253,0.00359,0.00346,0.721734,0.787309,0.790492,0.793912,0.797099,0.80044,0.802942,0.80616,0.808413,0.812004,0.815463,1.000007,0.086555,0.036978,0.030461,0.029284,0.036852,0.039076,0.040295,0.037258,0.034799,0.034174,1.000007,1.086562,1.123541,1.154001,1.183285,1.220137,1.259214,1.299509,1.336767,1.371565,1.405739,2.426522,1.945311,4.075695,1.900402,-2.221829,-1.94354,1.717277,1.886828,1.399132,0.619536,2.75,0.84308,4.64835,4.218195,4.530379,3.249472,0.993452,0.413768,0.997911,0.021538,-0.03675,16.440922,4.054741,3.076795,0.086341,244.114251,1.642835,'0.00000000000000 + 0.345746887455228i',0.45021,0.261876,Old
-0.478223,-0.007205,0.000881,0.046954,-0.059506,0.035008,0.005403,-0.052559,0.00803,0.048399,0.478223,0.485428,0.486308,0.533263,0.592769,0.627777,0.63318,0.685739,0.693769,0.742169,-0.330867,0.006112,0.014102,0.012349,-0.049895,0.046689,-0.022607,-0.019195,0.019506,0.021303,0.330867,0.336979,0.351081,0.36343,0.413325,0.460013,0.482621,0.501816,0.521323,0.542626,-0.468543,0.008609,0.021827,0.019144,-0.075174,0.070091,-0.033338,-0.030169,0.028998,0.030964,0.468543,0.477151,0.498978,0.518122,0.593296,0.663388,0.696726,0.726895,0.755893,0.786858,-0.478321,-0.307957,-0.217765,-0.088776,-0.10676,-0.056076,-0.015738,-0.076397,-0.086052,-0.019328,0.349748,0.766321,0.875398,0.482661,0.753222,0.867884,0.496016,0.081256,-0.019572,-0.053587,-0.040732,-0.019284,0.041501,0.065562,0.061461,0.015485,-0.012885,0.081256,0.100828,0.154415,0.195147,0.214431,0.255932,0.321494,0.382955,0.39844,0.411325,1.317714,0.169316,0.0317,0.028566,0.017884,0.030528,0.027458,0.026239,0.027431,0.019922,0.033314,1.317714,1.487029,1.518729,1.547295,1.56518,1.595707,1.623165,1.649404,1.676835,1.696757,1.730071,1.000002,0.098037,0.036992,0.03651,0.031439,0.030244,0.032216,0.036252,0.037641,0.026765,0.030046,1.000002,1.09804,1.135031,1.171541,1.20298,1.233224,1.265441,1.301693,1.339334,1.366099,1.396145,1.574417,1.243488,1.606299,1.30552,-1.553778,-1.245993,1.394092,1.382559,1.39267,0.595476,2.701571,0.822867,3.128196,2.594079,2.197103,2.39843,0.99261,0.622689,1.009011,0.008653,-0.056628,3.692671,1.921632,1.928526,0.544929,10.808896,1.719367,0.600894874,0.352026,0.169907,Old
-0.486244,0.046187,-0.062571,0.058792,-0.037403,-0.009739,0.060285,-0.037405,-0.012146,0.01438,0.486244,0.532431,0.595002,0.653794,0.691198,0.700937,0.761222,0.798626,0.810772,0.825153,-0.340142,0.051131,-0.038279,0.041398,-0.031668,-0.031671,0.055393,-0.012632,-0.026493,0.007102,0.340142,0.391273,0.429552,0.47095,0.502618,0.53429,0.589682,0.602315,0.628808,0.63591,-0.480562,0.075699,-0.056572,0.061772,-0.048571,-0.046969,0.08192,-0.019193,-0.03907,0.010016,0.480562,0.556261,0.612833,0.674605,0.723176,0.770145,0.852065,0.871257,0.910328,0.920344,-0.486249,-0.240624,-0.211586,-0.100268,-0.090444,-0.093786,0.006839,-0.006823,-0.034463,-0.011618,0.288388,0.753878,0.868262,0.496086,0.763606,0.873845,0.485596,-0.006003,0.055366,0.005102,-0.025194,0.032266,0.015528,-0.00102,-0.006393,0.030428,0.031695,0.006003,0.06137,0.066472,0.091666,0.123932,0.13946,0.140481,0.146874,0.177302,0.208997,0.840996,0.125077,0.019686,0.009692,0.018971,0.021339,0.013485,0.014471,0.016392,0.017307,0.016468,0.840996,0.966074,0.985759,0.995451,1.014421,1.035761,1.049245,1.063717,1.080108,1.097415,1.113883,1.000008,0.101176,0.029185,0.029633,0.030077,0.032054,0.030445,0.036454,0.033655,0.034316,0.033583,1.000008,1.101184,1.130369,1.160002,1.190079,1.222133,1.252579,1.289032,1.322687,1.357003,1.390586,1.792605,1.377413,2.190317,1.356778,-1.726709,-1.320894,2.128952,1.345412,1.410095,0.643093,2.728707,0.879925,3.519314,2.761326,3.186938,2.584687,0.99702,0.480179,1.005944,0.056177,0.040899,6.204224,2.490828,2.103157,0.596007,35.890857,1.723736,0.62210919,0.45901,0.318156,Old
-0.458713,0.001048,-0.004879,-0.005853,0.047978,-0.045158,-0.024382,0.025972,0.025265,-0.030031,0.458713,0.459761,0.46464,0.470493,0.518471,0.563629,0.588011,0.613982,0.639248,0.669278,-0.304062,0.003195,-0.016843,0.014935,0.016416,-0.01844,-0.01514,0.003157,0.031653,-0.024356,0.304062,0.307257,0.3241,0.339035,0.355451,0.373892,0.389031,0.392189,0.423841,0.448197,-0.436093,0.005455,-0.024782,0.022308,0.024675,-0.027266,-0.02251,0.004894,0.047228,-0.036264,0.436093,0.441548,0.46633,0.488637,0.513312,0.540578,0.563088,0.567982,0.61521,0.651474,-0.458893,-0.265667,-0.171548,-0.122305,-0.018304,-0.040467,-0.078042,-0.047339,0.005995,-0.017037,0.312932,0.787099,0.887186,0.461012,0.769083,0.876974,0.481078,0.099858,0.028261,0.02437,-0.001355,0.009545,0.031643,0.026552,0.021926,-0.018852,0.004737,0.099858,0.128119,0.152489,0.153844,0.163389,0.195033,0.221585,0.243511,0.262363,0.2671,2.171359,0.198592,0.064547,0.07207,0.074241,0.069616,0.068957,0.070732,0.07122,0.071618,0.064521,2.171359,2.369951,2.434498,2.506568,2.580809,2.650425,2.719382,2.790114,2.861335,2.932953,2.997474,1.000002,0.085058,0.035207,0.030202,0.034982,0.031938,0.035307,0.02767,0.030212,0.034959,0.032198,1.000002,1.085061,1.120267,1.150469,1.18545,1.217389,1.252696,1.280366,1.310578,1.345537,1.377735,2.245795,1.886256,1.897533,2.304267,-2.170339,-1.921145,1.6356,2.142852,1.423009,0.678835,2.736283,0.908691,4.416134,4.032932,2.634029,3.437154,0.99523,0.808375,0.988743,-0.015176,-0.09743,6.249491,2.499898,2.926691,0.342664,4.351786,1.707893,0.63094448,0.317459,0.246357,Old
-0.474731,0.079654,-0.055298,-0.012095,0.042577,-0.041919,0.023276,-0.014892,-0.007798,0.054763,0.474731,0.554384,0.609682,0.621778,0.664355,0.706274,0.72955,0.744443,0.75224,0.807004,-0.333215,0.047825,-0.024291,-0.010032,0.022945,-0.02046,0.017558,-0.004638,-0.019252,0.02812,0.333215,0.38104,0.405331,0.415363,0.438308,0.458768,0.476325,0.480964,0.500216,0.528336,-0.469917,0.070298,-0.035708,-0.015654,0.033994,-0.029863,0.026126,-0.007586,-0.029856,0.041721,0.469917,0.540215,0.575923,0.591578,0.625572,0.655436,0.681562,0.689148,0.719004,0.760725,-0.474735,-0.189526,-0.134565,-0.122844,-0.036464,-0.04538,-0.025018,-0.021547,-0.031358,0.042103,0.282252,0.771856,0.878553,0.47707,0.735937,0.857868,0.51915,-0.058487,0.020445,0.013348,0.000934,-0.020338,0.021519,-0.011501,0.007601,0.02544,-0.023598,0.058487,0.078932,0.092281,0.093214,0.113552,0.135071,0.146572,0.154173,0.179614,0.203211,1.988387,0.228409,0.0822,0.089943,0.075029,0.08975,0.081047,0.074652,0.065147,0.062933,0.087162,1.988387,2.216796,2.298996,2.38894,2.463968,2.553718,2.634765,2.709417,2.774564,2.837497,2.924659,1.000007,0.096989,0.041059,0.041782,0.035438,0.033618,0.034352,0.036472,0.033785,0.035319,0.033021,1.000007,1.096996,1.138055,1.179837,1.215275,1.248893,1.283245,1.319717,1.353502,1.388822,1.421843,1.947153,1.666462,1.597629,1.745838,-1.932907,-1.576595,1.674996,1.945755,1.384615,0.636089,2.682819,0.856511,3.88006,3.298562,2.558591,3.195646,0.986215,0.788848,0.988158,0.017999,0.046954,5.133026,2.265618,2.501089,-0.049745,4.975843,1.717355,0.653157755,0.393121,0.350298,Old
-0.497613,0.01803,0.013176,-0.014998,-0.006448,0.007049,0.001394,-0.012976,0.059913,-0.066904,0.497613,0.515643,0.528819,0.543817,0.550265,0.557313,0.558707,0.571683,0.631596,0.698501,-0.330949,0.026496,-0.010883,0.013359,-0.013935,0.005182,0.004548,-0.007836,0.028598,-0.034962,0.330949,0.357446,0.368329,0.381688,0.395623,0.400804,0.405352,0.413188,0.441786,0.476748,-0.469199,0.038471,-0.01627,0.020071,-0.021023,0.007613,0.006697,-0.011206,0.04115,-0.052705,0.469199,0.50767,0.523941,0.544011,0.565035,0.572647,0.579344,0.59055,0.6317,0.684406,-0.497623,-0.307282,-0.185516,-0.136126,-0.154948,-0.102496,-0.064334,-0.071342,0.06959,-0.008937,0.309864,0.750621,0.866384,0.499067,0.747141,0.864373,0.502042,-0.161519,0.028927,0.010704,0.038402,0.065157,0.000478,0.016731,0.01077,-0.012991,-0.009614,0.161519,0.190446,0.201151,0.239553,0.304709,0.305187,0.321918,0.332688,0.34568,0.355294,0.766777,0.087049,0.010237,0.009089,0.012156,0.009649,0.010242,0.006817,0.007832,0.012763,0.01137,0.766777,0.853826,0.864063,0.873152,0.885308,0.894957,0.905199,0.912016,0.919848,0.932611,0.943981,1,0.088577,0.028711,0.03503,0.036831,0.033549,0.025359,0.029234,0.032228,0.036814,0.036066,1,1.088577,1.117288,1.152318,1.189149,1.222698,1.248056,1.27729,1.309518,1.346333,1.382398,2.511082,1.84312,3.318529,2.18899,-2.423179,-1.95406,3.024659,2.199977,1.382979,0.698863,2.684435,0.885901,4.934261,4.087778,4.665913,3.524589,0.990188,0.421852,1.0047,0.044328,-0.038273,12.435885,3.526455,2.954473,0.577343,72.996541,1.730545,0.591177856,0.431828,0.217367,Old
-0.431715,0.006845,-0.067719,0.073703,-0.044655,-0.00057,0.014719,-0.034516,0.024632,0.021962,0.431715,0.43856,0.506278,0.579982,0.624637,0.625207,0.639926,0.674442,0.699073,0.721035,-0.300947,0.023763,-0.044079,0.053415,-0.065111,0.024013,0.00383,-0.015493,0.014406,0.030685,0.300947,0.32471,0.368789,0.422204,0.487315,0.511328,0.515158,0.53065,0.545057,0.575742,-0.436212,0.035239,-0.063713,0.078373,-0.096388,0.035385,0.005939,-0.024044,0.020606,0.045199,0.436212,0.471451,0.535164,0.613536,0.709924,0.745309,0.751248,0.775292,0.795899,0.841097,-0.431742,-0.225664,-0.207645,-0.078557,-0.078525,-0.072617,-0.021733,-0.061999,-0.031601,0.024903,0.33134,0.809952,0.899973,0.435105,0.806423,0.89801,0.438505,-0.039616,-0.018258,0.013788,0.058018,0.047504,0.000804,-0.021784,-0.077015,-0.021797,0.0508,0.039616,0.057874,0.071662,0.12968,0.177184,0.177988,0.199772,0.276788,0.298585,0.349385,1.925905,0.174225,0.082656,0.103143,0.079323,0.121874,0.094199,0.078059,0.077601,0.093363,0.088638,1.925905,2.100129,2.182785,2.285928,2.365251,2.487125,2.581324,2.659383,2.736984,2.830347,2.918985,1.000006,0.080031,0.044788,0.032907,0.039358,0.044496,0.045586,0.032319,0.035529,0.032916,0.035005,1.000006,1.080037,1.124826,1.157733,1.19709,1.241587,1.287173,1.319492,1.355021,1.387937,1.422942,2.43921,2.123404,1.925251,2.130465,-2.438959,-2.058922,1.797893,2.579264,1.425837,0.639638,2.721154,0.873183,4.878169,4.539078,2.868197,3.598105,0.999465,0.90399,1.047701,0.058921,0.084526,7.433376,2.726422,3.281585,0.16954,3.688063,1.691819,0.666179024,0.330011,0.269627,Old
-0.445131,-0.014136,-0.010152,0.038526,-0.038665,0.036812,-0.008904,-0.032839,0.018797,0.055719,0.445131,0.459267,0.469418,0.507944,0.546609,0.583422,0.592325,0.625164,0.643961,0.69968,-0.299289,-0.009932,-0.009598,0.039847,-0.019796,0.016319,-0.010836,-0.013623,0.002189,0.044594,0.299289,0.309222,0.31882,0.358667,0.378463,0.394782,0.405619,0.419242,0.421431,0.466025,-0.428969,-0.014329,-0.013781,0.0599,-0.02798,0.023853,-0.015347,-0.020604,0.003704,0.067455,0.428969,0.443298,0.457079,0.516978,0.544958,0.568812,0.584158,0.604762,0.608466,0.675921,-0.445874,-0.268539,-0.185875,-0.074701,-0.074821,-0.011484,0.000227,-0.045181,-0.027818,0.061179,0.233165,0.802639,0.895901,0.447127,0.789242,0.888393,0.461441,0.058361,-0.070757,-0.09174,-0.036843,0.012848,0.033465,-0.002989,-0.082119,0.028566,0.044335,0.058361,0.129118,0.220858,0.257701,0.270549,0.304014,0.307003,0.389122,0.417688,0.462022,1.820276,0.20332,0.069637,0.075364,0.082813,0.075643,0.071698,0.079743,0.06499,0.071191,0.070696,1.820276,2.023595,2.093232,2.168596,2.251409,2.327053,2.398751,2.478493,2.543483,2.614674,2.68537,1.000009,0.087492,0.034316,0.031394,0.03698,0.040286,0.031439,0.027673,0.044538,0.040324,0.03686,1.000009,1.087501,1.121817,1.153211,1.190192,1.230478,1.261917,1.28959,1.334128,1.374452,1.411312,2.648203,2.309161,2.230572,2.484061,-2.479331,-2.156759,2.174656,2.652849,1.363265,0.595989,2.672131,0.825944,5.127535,4.489848,3.262822,4.228721,0.99871,0.841024,1.026602,0.132895,0.233574,9.044699,3.007441,3.467533,0.065873,4.581431,1.698012,0.643606106,0.409004,0.291853,Old
-0.503376,0.007074,-0.009269,0.009176,0.001282,-0.007645,0.003845,-0.059785,0.11885,-0.061283,0.503376,0.51045,0.519719,0.528895,0.530177,0.537822,0.541666,0.601451,0.720302,0.781585,-0.329088,0.01155,0.014164,-0.012504,0.023403,-0.060574,0.045215,-0.007166,0.000889,-0.00999,0.329088,0.340637,0.354801,0.367306,0.390709,0.451283,0.496497,0.503663,0.504552,0.514542,-0.470214,0.017905,0.020583,-0.017926,0.03441,-0.089626,0.068496,-0.010642,0.001409,-0.014619,0.470214,0.488118,0.508701,0.526628,0.561038,0.650663,0.719159,0.729801,0.73121,0.745829,-0.503378,-0.315457,-0.2651,-0.197416,-0.150574,-0.133826,-0.113487,-0.219988,-0.066674,-0.059909,0.371223,0.728292,0.8534,0.520994,0.750222,0.866153,0.504132,0.031669,0.000182,0.001049,0.001554,0.002502,0.000135,0.000232,0.005823,0.001079,-0.003776,0.031669,0.031851,0.032899,0.034454,0.036955,0.03709,0.037322,0.043144,0.044223,0.047999,0.090712,0.041943,0.0002,0.004714,0.004707,0.000178,0.000178,0.000178,0.00218,0.004185,0.002183,0.090712,0.132656,0.132856,0.137571,0.142277,0.142455,0.142633,0.142811,0.144991,0.149176,0.151359,1.000004,0.096588,0.039107,0.034355,0.033426,0.031559,0.035477,0.034635,0.031838,0.028153,0.033913,1.000004,1.096592,1.1357,1.170055,1.20348,1.23504,1.270517,1.305153,1.336991,1.365143,1.399056,4.933623,1.729454,23.204248,1.989939,-5.364237,-1.746547,24.289107,1.797308,1.431604,0.622692,2.680851,0.772628,10.29786,3.715021,33.21565,3.178363,0.946569,0.134723,1.002432,0.01461,-0.00689,471.15937,21.706206,2.635327,0.284822,69.866301,1.734,0.576869348,0.33839,0.052673,Old
-0.445974,0.012602,-0.079786,0.073643,-0.031244,0.010171,0.006633,-0.013094,0.022863,-0.013109,0.445974,0.458576,0.538362,0.612005,0.643249,0.65342,0.660053,0.673147,0.69601,0.70912,-0.299208,0.017795,-0.048045,0.038305,-0.00325,-0.006212,0.013196,-0.014712,0.017797,-0.00073,0.299208,0.317004,0.365049,0.403354,0.406604,0.412816,0.426012,0.440725,0.458521,0.459251,-0.429146,0.026866,-0.071112,0.056259,-0.005269,-0.008609,0.018926,-0.021828,0.026555,-0.000971,0.429146,0.456012,0.527124,0.583384,0.588653,0.597262,0.616188,0.638016,0.664571,0.665541,-0.446132,-0.234832,-0.236436,-0.108345,-0.088878,-0.060878,-0.019635,-0.025964,0.01422,0.011988,0.288388,0.797815,0.893205,0.449067,0.781825,0.884209,0.469099,0.0271,-0.065888,0.027509,0.029949,0.020949,0.026008,-0.054845,0.032985,0.041833,0.03362,0.0271,0.092988,0.120497,0.150446,0.171395,0.197402,0.252247,0.285232,0.327064,0.360684,1.989474,0.209306,0.081507,0.084418,0.087509,0.065586,0.060706,0.077531,0.074082,0.07742,0.068326,1.989474,2.19878,2.280288,2.364706,2.452214,2.5178,2.578507,2.656038,2.730119,2.80754,2.875866,1.000008,0.092091,0.040763,0.030323,0.04015,0.029976,0.033315,0.032927,0.034925,0.031005,0.031144,1.000008,1.092099,1.132862,1.163186,1.203336,1.233312,1.266627,1.299554,1.334479,1.365484,1.396628,2.219964,1.924969,1.822331,1.974601,-2.090371,-1.735984,1.75886,2.061458,1.395778,0.651886,2.712401,0.853954,4.310335,3.974266,2.643321,3.477019,0.996786,0.831308,1.02001,0.033499,-0.000521,6.274,2.504795,2.828711,0.087657,4.423755,1.700346,0.647551241,0.362439,0.280193,Old
