[],PearsAutoct1,PearsAutoct2,PearsAutoct3,PearsAutoct4,PearsAutoct5,PearsAutoct6,PearsAutoct7,PearsAutoct8,PearsAutoct9,PearsAutoct10,PearsCAutot1,PearsCAutot2,PearsCAutot3,PearsCAutot4,PearsCAutot5,PearsCAutot6,PearsCAutot7,PearsCAutot8,PearsCAutot9,PearsCAutot10,KendaAutoct1,KendaAutoct2,KendaAutoct3,KendaAutoct4,KendaAutoct5,KendaAutoct6,KendaAutoct7,KendaAutoct8,KendaAutoct9,KendaAutoct10,KendaCAutot1,KendaCAutot2,KendaCAutot3,KendaCAutot4,KendaCAutot5,KendaCAutot6,KendaCAutot7,KendaCAutot8,KendaCAutot9,KendaCAutot10,SpearAutoct1,SpearAutoct2,SpearAutoct3,SpearAutoct4,SpearAutoct5,SpearAutoct6,SpearAutoct7,SpearAutoct8,SpearAutoct9,SpearAutoct10,SpearCAutot1,SpearCAutot2,SpearCAutot3,SpearCAutot4,SpearCAutot5,SpearCAutot6,SpearCAutot7,SpearCAutot8,SpearCAutot9,SpearCAutot10,PartialAutt1,PartialAutt2,PartialAutt3,PartialAutt4,PartialAutt5,PartialAutt6,PartialAutt7,PartialAutt8,PartialAutt9,PartialAutt10,MedianFreql5u480,AR_____FitNMSEm1h1,AR_____FitNRMSEm1h1,AR_____FitCCm1h1,AR_PredictNMSEf50m1h1,AR_PredictNRMSEf50m1h1,AR_PredictCCf50m1h1,Bicorrelatt1,Bicorrelatt2,Bicorrelatt3,Bicorrelatt4,Bicorrelatt5,Bicorrelatt6,Bicorrelatt7,Bicorrelatt8,Bicorrelatt9,Bicorrelatt10,BicorrelaCt1,BicorrelaCt2,BicorrelaCt3,BicorrelaCt4,BicorrelaCt5,BicorrelaCt6,BicorrelaCt7,BicorrelaCt8,BicorrelaCt9,BicorrelaCt10,MutInfEqDib0t0,MutInfEqDib0t1,MutInfEqDib0t2,MutInfEqDib0t3,MutInfEqDib0t4,MutInfEqDib0t5,MutInfEqDib0t6,MutInfEqDib0t7,MutInfEqDib0t8,MutInfEqDib0t9,MutInfEqDib0t10,MutInCEqDib0t0,MutInCEqDib0t1,MutInCEqDib0t2,MutInCEqDib0t3,MutInCEqDib0t4,MutInCEqDib0t5,MutInCEqDib0t6,MutInCEqDib0t7,MutInCEqDib0t8,MutInCEqDib0t9,MutInCEqDib0t10,MutInfEqPrb0t0,MutInfEqPrb0t1,MutInfEqPrb0t2,MutInfEqPrb0t3,MutInfEqPrb0t4,MutInfEqPrb0t5,MutInfEqPrb0t6,MutInfEqPrb0t7,MutInfEqPrb0t8,MutInfEqPrb0t9,MutInfEqPrb0t10,MutInCEqPrb0t0,MutInCEqPrb0t1,MutInCEqPrb0t2,MutInCEqPrb0t3,MutInCEqPrb0t4,MutInCEqPrb0t5,MutInCEqPrb0t6,MutInCEqPrb0t7,MutInCEqPrb0t8,MutInCEqPrb0t9,MutInCEqPrb0t10,LocalMaximMEANa1w1,LocalMaximMEDIANa1w1,LocalMaximSDa1w1,LocalMaximIQRa1w1,LocalMinimMEANa1w1,LocalMinimMEDIANa1w1,LocalMinimSDa1w1,LocalMinimIQRa1w1,MinMaxTimeMEANa1w1,MinMaxTimeMEDIANa1w1,MinMaxTimeSDa1w1,MinMaxTimeIQRa1w1,MaxMaxTimeMEANa1w1,MaxMaxTimeMEDIANa1w1,MaxMaxTimeSDa1w1,MaxMaxTimeIQRa1w1,DiffMinMaxMEANa1w1,DiffMinMaxMEDIANa1w1,DiffMinMaxSDa1w1,DiffMinMaxIQRa1w1,CorrelaDimt1m1g0s4o100,AlgComEqDib0,AlgComEqPrb0,MeanTimSer,MedianTimS,VarianceTS,StdDeviaTS,IntQuarRangTS,SkewnessTS,KurtosisTS,HjorthMobi,HjorthComp,HurstExpon,DetFluctAna,clase
Group1_Serie1C1,-0.503578354,0.011062808,0.008733154,0.010520338,-0.020221257,-0.012109804,0.013366105,0.001878921,0.01420643,-0.023986724,0.503578354,0.514641162,0.523374316,0.533894654,0.55411591,0.566225714,0.579591819,0.58147074,0.595677169,0.619663894,-0.329096629,0.005824403,0.000751919,0.012537235,-0.013528651,-0.010479312,0.013577778,-0.016682289,0.01633423,-0.008572184,0.329096629,0.334921032,0.335672951,0.348210185,0.361738837,0.372218148,0.385795927,0.402478215,0.418812446,0.427384629,-0.470056369,0.009824677,0.001068859,0.019532424,-0.020107785,-0.015456214,0.021219077,-0.02380405,0.02427223,-0.012856157,0.470056369,0.479881046,0.480949905,0.50048233,0.520590115,0.536046328,0.557265406,0.581069455,0.605341685,0.618197842,-0.728138542,-0.400901948,-0.228772806,-0.098493901,-0.101586974,-0.141140753,-0.106636252,-0.068894991,0.008589807,-0.035723411,0.33133985,0.644589497,0.802863311,0.606070153,0.646034628,0.803762794,0.640937859,0.120085319,-0.007056673,-0.006890135,0.012380174,0.002561451,0.003361197,0.003859702,0.002336269,-0.007346492,0.02149289,0.120085319,0.127141992,0.134032127,0.146412301,0.148973753,0.152334949,0.156194651,0.15853092,0.165877412,0.187370302,0.721734263,0.065574801,0.00318302,0.003419506,0.003187484,0.003341031,0.002501496,0.003218804,0.002252886,0.00359044,0.003459529,0.721734263,0.787309064,0.790492084,0.79391159,0.797099074,0.800440105,0.802941601,0.806160405,0.808413291,0.812003732,0.815463261,1.000007029,0.086555452,0.036978155,0.030460861,0.029283872,0.036851945,0.039076392,0.040294909,0.037258076,0.034798746,0.0341737,1.000007029,1.086562481,1.123540635,1.154001496,1.183285368,1.220137313,1.259213705,1.299508614,1.33676669,1.371565436,1.405739137,2.426521663,1.9453106,4.075694608,1.90040245,-2.221828694,-1.9435403,1.717277203,1.8868279,1.399132321,1,0.619536385,1,2.75,3,0.843080253,1,4.648350357,4.2181951,4.530378778,3.249471723,0.993451818,0.413768028,0.997911127,0.021537827,-0.0367495,16.4409217,4.054740646,3.076794525,0.08634081,244.1142507,1.642835134,0.00000000000000 + 0.345746887455228i,0.450209924,0.26187606,Old
Group1_Serie10C1,-0.478222815,-0.007205097,0.0008805,0.046954204,-0.059506091,0.03500816,0.005403132,-0.052558709,0.008030481,0.048399338,0.478222815,0.485427912,0.486308412,0.533262615,0.592768706,0.627776866,0.633179998,0.685738707,0.693769188,0.742168526,-0.330866699,0.006112249,0.01410161,0.012349213,-0.049894798,0.046688826,-0.022607496,-0.01919518,0.01950649,0.021303354,0.330866699,0.336978948,0.351080558,0.363429771,0.413324569,0.460013395,0.482620891,0.501816072,0.521322562,0.542625915,-0.468542955,0.008608535,0.021826912,0.019143786,-0.075174282,0.070091325,-0.033338497,-0.030168554,0.02899842,0.030964366,0.468542955,0.477151489,0.498978401,0.518122186,0.593296468,0.663387793,0.69672629,0.726894843,0.755893264,0.78685763,-0.478320979,-0.30795747,-0.217764865,-0.088776492,-0.106760336,-0.056075913,-0.015738203,-0.076396619,-0.086051823,-0.01932761,0.34974762,0.766320947,0.875397593,0.482660824,0.753222025,0.867883647,0.496016351,0.081255962,-0.019572342,-0.05358709,-0.040731762,-0.019284001,0.041500678,0.065562445,0.061461098,0.015484606,-0.012884703,0.081255962,0.100828304,0.154415394,0.195147156,0.214431157,0.255931835,0.32149428,0.382955378,0.398439984,0.411324688,1.317713557,0.169315622,0.031699566,0.028566354,0.017884405,0.030527914,0.027457811,0.026239159,0.027430606,0.019921912,0.033314093,1.317713557,1.487029179,1.518728746,1.547295099,1.565179504,1.595707418,1.623165228,1.649404388,1.676834993,1.696756906,1.730070999,1.000002308,0.098037199,0.036991699,0.036510213,0.031438865,0.03024404,0.032216208,0.036252235,0.037641399,0.026765135,0.030045705,1.000002308,1.098039507,1.135031206,1.171541419,1.202980284,1.233224324,1.265440532,1.301692767,1.339334166,1.366099301,1.396145006,1.574417331,1.2434881,1.606299237,1.30551973,-1.55377832,-1.2459932,1.394092173,1.38255856,1.392670157,1,0.595476113,1,2.701570681,3,0.822867175,1,3.128195651,2.59407926,2.197102946,2.39842978,0.992610291,0.622689185,1.009010638,0.008652911,-0.056628199,3.692670891,1.921632351,1.928525645,0.54492907,10.80889612,1.719366784,0.600894874,0.352026001,0.169907457,Old
Group1_Serie11C1,-0.486244203,0.046186726,-0.062570997,0.058792491,-0.037403446,-0.009738649,0.060285291,-0.037404667,-0.012145935,0.014380226,0.486244203,0.532430928,0.595001925,0.653794416,0.691197863,0.700936511,0.761221803,0.798626469,0.810772405,0.825152631,-0.340141871,0.051131373,-0.038278741,0.041398438,-0.03166798,-0.031671477,0.055392594,-0.01263232,-0.026493103,0.007101805,0.340141871,0.391273244,0.429551985,0.470950423,0.502618402,0.534289879,0.589682473,0.602314793,0.628807896,0.635909702,-0.480561949,0.075699055,-0.05657177,0.061772387,-0.048570522,-0.046969321,0.081919529,-0.019192864,-0.039070229,0.010016395,0.480561949,0.556261004,0.612832774,0.674605161,0.723175683,0.770145003,0.852064533,0.871257397,0.910327626,0.920344021,-0.486249231,-0.240624424,-0.211586253,-0.100268097,-0.090443782,-0.093786115,0.006838664,-0.006822923,-0.034462667,-0.011617994,0.288388388,0.753878353,0.868261684,0.496085591,0.763605884,0.873845458,0.485596461,-0.006003359,0.055366497,0.005102072,-0.025194059,0.03226622,0.015527982,-0.0010204,-0.006392934,0.03042808,0.031695425,0.006003359,0.061369856,0.066471928,0.091665987,0.123932207,0.139460189,0.140480589,0.146873524,0.177301604,0.208997028,0.840996387,0.12507747,0.019685521,0.009691519,0.018970539,0.021339323,0.013484693,0.014471134,0.016391519,0.017306701,0.016468251,0.840996387,0.966073857,0.985759378,0.995450898,1.014421437,1.03576076,1.049245453,1.063716588,1.080108107,1.097414808,1.113883059,1.000007783,0.101176059,0.029184824,0.029633333,0.030077282,0.032054071,0.030445223,0.036453896,0.033654538,0.03431569,0.033582843,1.000007783,1.101183842,1.130368665,1.160001998,1.19007928,1.22213335,1.252578573,1.289032469,1.322687007,1.357002697,1.39058554,1.792605123,1.3774125,2.190317222,1.356778083,-1.726709211,-1.3208944,2.128952074,1.345412198,1.410094637,1,0.643093043,1,2.728706625,2,0.879925144,1,3.519314333,2.76132626,3.186937545,2.584686788,0.997019605,0.480178672,1.005943926,0.056177427,0.040898596,6.20422421,2.490828017,2.10315725,0.596006986,35.89085744,1.723736442,0.62210919,0.45900989,0.318156263,Old
Group1_Serie12C1,-0.458713171,0.001048248,-0.004878681,-0.005853366,0.047977939,-0.045157844,-0.024381644,0.025971545,0.025265233,-0.030030679,0.458713171,0.45976142,0.464640101,0.470493467,0.518471407,0.56362925,0.588010894,0.613982439,0.639247672,0.669278351,-0.304062136,0.003195315,-0.016842681,0.014935296,0.016415983,-0.01844029,-0.015139709,0.003157112,0.031652578,-0.024355502,0.304062136,0.307257451,0.324100132,0.339035428,0.355451411,0.373891701,0.38903141,0.392188523,0.423841101,0.448196603,-0.43609341,0.005454594,-0.024781677,0.022307511,0.024674842,-0.027265533,-0.022510087,0.00489388,0.047228484,-0.036264335,0.43609341,0.441548004,0.466329681,0.488637193,0.513312035,0.540577568,0.563087656,0.567981535,0.61521002,0.651474354,-0.458892973,-0.265666678,-0.171547897,-0.12230478,-0.018303766,-0.040467093,-0.078042001,-0.047339072,0.005995456,-0.017037436,0.312932081,0.78709904,0.887186023,0.461012053,0.769083063,0.87697381,0.481077679,0.099858307,0.028260829,0.024370348,-0.001354998,0.009544906,0.031643137,0.026552057,0.021926434,-0.018852016,0.004736915,0.099858307,0.128119136,0.152489484,0.153844482,0.163389387,0.195032524,0.221584581,0.243511015,0.262363031,0.267099946,2.171359179,0.198591683,0.064547465,0.072069727,0.074241018,0.069615934,0.068957091,0.070732068,0.071220352,0.07161811,0.064520995,2.171359179,2.369950862,2.434498327,2.506568054,2.580809072,2.650425006,2.719382097,2.790114165,2.861334516,2.932952626,2.997473621,1.000002297,0.085058294,0.035206618,0.030201551,0.034981584,0.031938268,0.035307428,0.02766961,0.030212415,0.034959029,0.032197545,1.000002297,1.085060591,1.120267209,1.15046876,1.185450344,1.217388612,1.252696039,1.28036565,1.310578065,1.345537094,1.377734638,2.245795182,1.8862559,1.897533384,2.304266753,-2.170338665,-1.9211447,1.635599792,2.142852038,1.42300885,1,0.678835158,1,2.736283186,3,0.908691479,1,4.416133846,4.03293216,2.634029325,3.437153823,0.995229659,0.808375316,0.988743033,-0.015175666,-0.097430396,6.249490538,2.499898106,2.9266905,0.342664337,4.351786069,1.707893382,0.63094448,0.317459403,0.246356866,Old
Group1_Serie13C1,-0.474730527,0.079653766,-0.055298079,-0.012095482,0.042577196,-0.041919426,0.02327594,-0.014892144,-0.007797766,0.05476328,0.474730527,0.554384293,0.609682372,0.621777854,0.66435505,0.706274476,0.729550416,0.74444256,0.752240326,0.807003607,-0.333215182,0.047824742,-0.024291089,-0.010031667,0.022945228,-0.020459714,0.017557847,-0.004638112,-0.019252379,0.028119575,0.333215182,0.381039925,0.405331013,0.41536268,0.438307908,0.458767622,0.476325469,0.480963581,0.50021596,0.528335535,-0.469916754,0.070298389,-0.035708333,-0.015654491,0.033994339,-0.029863297,0.026126123,-0.007585893,-0.029855904,0.04172125,0.469916754,0.540215143,0.575923476,0.591577968,0.625572307,0.655435604,0.681561727,0.68914762,0.719003524,0.760724774,-0.474735499,-0.189525641,-0.134565328,-0.12284351,-0.036464344,-0.045380184,-0.025017596,-0.021547316,-0.031358017,0.042103241,0.282252465,0.771855912,0.878553306,0.477070162,0.735937336,0.857867902,0.519149912,-0.058487273,0.020445026,0.013348395,0.000933741,-0.020337975,0.021519072,-0.011500794,0.007601028,0.025440367,-0.023597612,0.058487273,0.0789323,0.092280695,0.093214436,0.113552411,0.135071483,0.146572277,0.154173305,0.179613672,0.203211284,1.988387201,0.228409277,0.082199889,0.089943178,0.075028589,0.089749797,0.081047399,0.074651685,0.065146533,0.062933353,0.087162283,1.988387201,2.216796478,2.298996367,2.388939544,2.463968134,2.55371793,2.634765329,2.709417015,2.774563548,2.8374969,2.924659184,1.000007238,0.096989031,0.041058654,0.041782402,0.035438062,0.033617745,0.034352032,0.036472285,0.033784672,0.035319429,0.033020998,1.000007238,1.096996269,1.138054923,1.179837325,1.215275387,1.248893132,1.283245164,1.319717448,1.353502121,1.388821549,1.421842548,1.947153146,1.666462,1.597628652,1.745837883,-1.932906683,-1.576595,1.674995899,1.945755135,1.384615385,1,0.636088522,1,2.682819383,2,0.856511214,1,3.88005983,3.2985617,2.558590968,3.195645998,0.986214698,0.788848352,0.98815844,0.017999165,0.046954379,5.133026401,2.265618326,2.5010887,-0.049745376,4.975843291,1.717355471,0.653157755,0.393121114,0.350297564,Old
Group1_Serie14C1,-0.497612888,0.018030125,0.013175657,-0.014998118,-0.006448048,0.007048636,0.001393788,-0.012976213,0.059912913,-0.066904203,0.497612888,0.515643013,0.528818671,0.543816789,0.550264837,0.557313472,0.55870726,0.571683473,0.631596386,0.698500589,-0.330949253,0.026496467,-0.010883275,0.013359053,-0.013934647,0.005181793,0.004547781,-0.007836171,0.028597571,-0.034961706,0.330949253,0.35744572,0.368328994,0.381688047,0.395622694,0.400804487,0.405352268,0.413188439,0.44178601,0.476747716,-0.469198845,0.038471424,-0.016270291,0.020070763,-0.021023358,0.00761256,0.006697183,-0.011205598,0.041150286,-0.052705249,0.469198845,0.507670269,0.52394056,0.544011323,0.565034681,0.572647241,0.579344425,0.590550023,0.631700309,0.684405558,-0.497623162,-0.307282301,-0.185516448,-0.136126341,-0.154948055,-0.102495581,-0.064333871,-0.071342286,0.06958995,-0.008936662,0.309864119,0.750621427,0.86638411,0.499067128,0.747141377,0.864373401,0.502041559,-0.161519214,0.028927215,0.01070428,0.038401797,0.065156768,0.000477502,0.016731215,0.010770471,-0.012991435,-0.009613825,0.161519214,0.190446429,0.201150709,0.239552506,0.304709274,0.305186776,0.321917991,0.332688462,0.345679897,0.355293722,0.766776994,0.087049268,0.01023676,0.009088723,0.012156244,0.009648638,0.010241939,0.006817274,0.007831666,0.012763347,0.011369689,0.766776994,0.853826261,0.864063021,0.873151744,0.885307988,0.894956626,0.905198565,0.912015839,0.919847505,0.932610852,0.943980541,1,0.08857715,0.028711081,0.035029552,0.036831146,0.033548791,0.025358529,0.029234133,0.032227879,0.036814345,0.03606587,1,1.08857715,1.117288231,1.152317783,1.189148929,1.222697721,1.24805625,1.277290383,1.309518262,1.346332608,1.382398478,2.511082378,1.84311975,3.318528635,2.18899011,-2.423178642,-1.95405995,3.024658516,2.19997697,1.382978723,1,0.698862661,1,2.684434968,2,0.885901414,1,4.93426102,4.08777785,4.665913095,3.5245891,0.990187933,0.421851783,1.00470014,0.044328398,-0.038273095,12.43588453,3.526454953,2.9544725,0.577342521,72.99654067,1.730544707,0.591177856,0.43182822,0.217366961,Old
Group1_Serie15C1,-0.431715312,0.006844609,-0.067718541,0.073703118,-0.044655393,-0.000570015,0.014718967,-0.034515787,0.02463164,0.021961656,0.431715312,0.43855992,0.506278461,0.579981579,0.624636972,0.625206987,0.639925954,0.674441741,0.699073381,0.721035037,-0.300946567,0.023762964,-0.044079291,0.053414848,-0.065111479,0.024013055,0.003829535,-0.015492753,0.014406151,0.030685001,0.300946567,0.324709531,0.368788822,0.42220367,0.48731515,0.511328204,0.51515774,0.530650493,0.545056643,0.575741645,-0.436211901,0.035238887,-0.063712877,0.07837267,-0.096388023,0.03538479,0.005938611,-0.024044451,0.020606402,0.045198516,0.436211901,0.471450788,0.535163665,0.613536335,0.709924358,0.745309149,0.75124776,0.775292211,0.795898613,0.841097129,-0.431741716,-0.225664443,-0.20764495,-0.078557252,-0.078524705,-0.07261705,-0.0217333,-0.061999074,-0.031601129,0.024903286,0.33133985,0.809952087,0.899973381,0.435104893,0.806422513,0.898010308,0.438505109,-0.039615934,-0.018257888,0.013788172,0.058018199,0.047503803,0.000804436,-0.021783803,-0.077015471,-0.021796871,0.050800437,0.039615934,0.057873823,0.071661995,0.129680193,0.177183997,0.177988433,0.199772236,0.276787707,0.298584579,0.349385016,1.925904541,0.174224555,0.082655548,0.103143378,0.079322914,0.121874374,0.094198553,0.078059035,0.077601048,0.093362714,0.088638189,1.925904541,2.100129097,2.182784644,2.285928022,2.365250936,2.48712531,2.581323863,2.659382898,2.736983947,2.83034666,2.918984849,1.000006429,0.080030866,0.044788498,0.032906738,0.039357847,0.044496398,0.045586491,0.032318735,0.035528973,0.032916479,0.03500472,1.000006429,1.080037295,1.124825793,1.157732531,1.197090378,1.241586777,1.287173268,1.319492003,1.355020977,1.387937456,1.422942176,2.439209845,2.1234036,1.92525067,2.130464775,-2.43895938,-2.0589218,1.797892883,2.579263825,1.425837321,1,0.639638113,1,2.721153846,3,0.873183202,1,4.878169225,4.5390784,2.868197493,3.598104683,0.999464577,0.903989572,1.047700735,0.058920685,0.084526391,7.433375698,2.726421776,3.281584875,0.169540146,3.688062977,1.69181918,0.666179024,0.33001089,0.269627367,Old
Group1_Serie16C1,-0.445130986,-0.014135555,-0.010151631,0.038525788,-0.038665468,0.036812117,-0.00890395,-0.032838535,0.018797458,0.055718829,0.445130986,0.459266541,0.469418172,0.50794396,0.546609429,0.583421546,0.592325496,0.625164032,0.64396149,0.699680319,-0.299289415,-0.009932404,-0.009598221,0.039846775,-0.019796191,0.016319121,-0.010836426,-0.013623315,0.002189047,0.044593971,0.299289415,0.309221819,0.318820041,0.358666816,0.378463007,0.394782128,0.405618555,0.419241869,0.421430916,0.466024887,-0.428969033,-0.014328775,-0.013781127,0.059899508,-0.027979842,0.023853325,-0.015346646,-0.020603812,0.003704064,0.067455135,0.428969033,0.443297808,0.457078935,0.516978443,0.544958285,0.56881161,0.584158256,0.604762068,0.608466132,0.675921268,-0.445874178,-0.268539244,-0.18587507,-0.074700897,-0.074820562,-0.011484087,0.000227164,-0.045180586,-0.027818342,0.06117936,0.23316508,0.802639031,0.895901239,0.447126923,0.789241965,0.888392912,0.461441019,0.05836117,-0.070756666,-0.091740337,-0.036843134,0.012847788,0.033464891,-0.002988829,-0.082119219,0.028565554,0.044334673,0.05836117,0.129117836,0.220858173,0.257701307,0.270549095,0.304013986,0.307002815,0.389122033,0.417687588,0.46202226,1.820275549,0.203319666,0.069636754,0.075364251,0.08281323,0.075643401,0.071697879,0.079742689,0.064989887,0.071190853,0.070695541,1.820275549,2.023595215,2.093231969,2.168596221,2.251409451,2.327052851,2.39875073,2.478493419,2.543483306,2.614674159,2.6853697,1.000009146,0.087491709,0.034316086,0.03139447,0.036980176,0.040286415,0.031438741,0.02767279,0.044538326,0.04032422,0.036859689,1.000009146,1.087500855,1.121816941,1.153211411,1.190191588,1.230478002,1.261916743,1.289589533,1.334127859,1.374452079,1.411311768,2.648203453,2.3091608,2.230572067,2.4840613,-2.479331372,-2.1567588,2.174655519,2.65284865,1.363265306,1,0.595988598,1,2.672131148,2,0.825943759,1,5.127534825,4.4898476,3.262822303,4.228720818,0.998709912,0.841024113,1.026602203,0.132894699,0.233574445,9.044698883,3.007440587,3.4675328,0.065872975,4.581430999,1.698011525,0.643606106,0.409003648,0.291853272,Old
Group1_Serie17C1,-0.503376237,0.007073618,-0.009268653,0.009176093,0.001282472,-0.007644694,0.003844685,-0.059785018,0.118850242,-0.061283292,0.503376237,0.510449855,0.519718508,0.528894601,0.530177073,0.537821767,0.541666452,0.60145147,0.720301712,0.781585004,-0.329087542,0.011549916,0.014163734,-0.012504456,0.023403267,-0.060573682,0.045214901,-0.007165868,0.000888881,-0.00999012,0.329087542,0.340637458,0.354801192,0.367305648,0.390708914,0.451282596,0.496497497,0.503663366,0.504552246,0.514542366,-0.470213602,0.01790461,0.020583174,-0.017926203,0.034410338,-0.089625522,0.068495564,-0.010642227,0.001408845,-0.014618625,0.470213602,0.488118212,0.508701386,0.52662759,0.561037928,0.650663449,0.719159013,0.72980124,0.731210085,0.74582871,-0.503377921,-0.315456707,-0.2651001,-0.197416187,-0.150573597,-0.133826381,-0.113486735,-0.219987797,-0.066673765,-0.059909498,0.371223351,0.728291582,0.853400013,0.52099367,0.750221761,0.866153428,0.504131728,0.031668986,0.000181945,0.001048542,0.00155435,0.002501614,0.000134651,0.000231842,0.005822546,0.001078988,-0.003775868,0.031668986,0.031850931,0.032899473,0.034453823,0.036955437,0.037090088,0.03732193,0.043144476,0.044223464,0.047999332,0.09071247,0.04194345,0.000200428,0.004714293,0.004706713,0.000177633,0.000177949,0.000178266,0.002180258,0.004184991,0.002182832,0.09071247,0.13265592,0.132856348,0.137570641,0.142277353,0.142454986,0.142632935,0.142811202,0.144991459,0.14917645,0.151359282,1.000003719,0.096588452,0.039107467,0.034354921,0.033425876,0.031559476,0.035477245,0.034635461,0.031838046,0.028152706,0.033912779,1.000003719,1.096592171,1.135699639,1.17005456,1.203480436,1.235039912,1.270517157,1.305152618,1.336990664,1.36514337,1.399056149,4.933622703,1.72945405,23.20424834,1.989939385,-5.364237228,-1.74654715,24.28910741,1.79730815,1.431603774,1,0.622692448,1,2.680851064,3,0.772628452,1,10.29785993,3.71502065,33.21564971,3.17836332,0.946569254,0.13472317,1.002431724,0.014609686,-0.006890491,471.1593697,21.70620579,2.6353267,0.284822223,69.86630124,1.734000325,0.576869348,0.338389606,0.052672503,Old
Group1_Serie2C1,-0.445974007,0.012601602,-0.079785924,0.073643201,-0.031244107,0.010171068,0.006632835,-0.013094191,0.022863266,-0.01310933,0.445974007,0.45857561,0.538361534,0.612004735,0.643248841,0.653419909,0.660052744,0.673146935,0.696010201,0.709119531,-0.299208393,0.017795223,-0.048045192,0.038304948,-0.003250131,-0.00621189,0.013196481,-0.014712493,0.017796527,-0.000729773,0.299208393,0.317003616,0.365048808,0.403353756,0.406603887,0.412815777,0.426012258,0.440724751,0.458521279,0.459251051,-0.429146486,0.026865519,-0.071112365,0.056259411,-0.005269355,-0.008609239,0.018925685,-0.021827518,0.026554965,-0.000970604,0.429146486,0.456012004,0.52712437,0.58338378,0.588653135,0.597262374,0.616188059,0.638015577,0.664570542,0.665541146,-0.446132418,-0.234832226,-0.236435942,-0.10834506,-0.088878158,-0.060877733,-0.019635047,-0.025964212,0.014220442,0.011988306,0.288388388,0.797814709,0.893204741,0.449067372,0.781825252,0.884208828,0.469099471,0.027100396,-0.065887876,0.02750891,0.029948547,0.020948888,0.026007531,-0.05484481,0.032984814,0.04183253,0.033620158,0.027100396,0.092988272,0.120497182,0.15044573,0.171394617,0.197402148,0.252246958,0.285231772,0.327064302,0.360684461,1.989474262,0.209306128,0.081507191,0.084417954,0.087508828,0.065586035,0.060706465,0.077530822,0.074081809,0.077420205,0.068326206,1.989474262,2.19878039,2.280287581,2.364705535,2.452214363,2.517800398,2.578506863,2.656037685,2.730119494,2.807539699,2.875865905,1.000008031,0.092091285,0.040763167,0.030323406,0.040149961,0.029976436,0.033314873,0.032926924,0.034925313,0.031004631,0.03114408,1.000008031,1.092099316,1.132862483,1.16318589,1.20333585,1.233312286,1.266627159,1.299554083,1.334479396,1.365484026,1.396628107,2.219964494,1.9249694,1.822330956,1.974600988,-2.090370823,-1.7359841,1.758859755,2.061457958,1.395778364,1,0.651886244,1,2.712401055,3,0.853953946,1,4.310335318,3.9742656,2.643321331,3.477019373,0.996785672,0.831308484,1.02001041,0.033498536,-0.000521042,6.273999538,2.504795309,2.828711225,0.087657353,4.42375546,1.700346108,0.647551241,0.362439098,0.280192612,Old
